title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,main_genre
Ariel,movie,"Comedy,Crime,Romance",1988,tt0094675,7.4,9064.0,,Comedy
Shadows in Paradise,movie,"Comedy,Drama,Music",1986,tt0092149,7.4,7865.0,,Comedy
American Beauty,movie,Drama,1999,tt0169547,8.3,1244098.0,,Drama
The Fifth Element,movie,"Action,Science Fiction",1997,tt0119116,7.6,524261.0,,Action
Kill Bill: Vol. 1,movie,"Action,Crime,Thriller",2003,tt0266697,8.2,1243145.0,,Action
Jarhead,movie,"Biography,Drama,War",2005,tt0418763,7.0,214644.0,,Documentary
Unforgiven,movie,"Drama,Western",1992,tt0105695,8.2,451803.0,,Drama
Eternal Sunshine of the Spotless Mind,movie,"Drama,Romance,Science Fiction",2004,tt0338013,8.3,1129174.0,,Drama
Amores Perros,movie,"Drama,Thriller",2000,tt0245712,8.0,261745.0,,Drama
A History of Violence,movie,"Action,Crime,Drama",2005,tt0399146,7.4,263042.0,,Action
Talk to Her,movie,"Drama,Mystery,Romance",2002,tt0287467,7.9,119688.0,,Drama
8 Mile,movie,"Drama,Music",2002,tt0298203,7.2,335926.0,,Drama
Paradise Now,movie,"Crime,Drama,Thriller",2005,tt0445620,7.4,24465.0,,Drama
Million Dollar Baby,movie,"Drama,Sport",2004,tt0405159,8.1,743009.0,,Drama
American History X,movie,"Crime,Drama",1998,tt0120586,8.5,1225424.0,,Drama
Mars Attacks!,movie,"Comedy,Science Fiction",1996,tt0116996,6.4,251146.0,,Comedy
Before Sunrise,movie,"Drama,Romance",1995,tt0112471,8.1,356324.0,,Drama
Memento,movie,"Mystery,Thriller",2000,tt0209144,8.4,1370777.0,,Drama
Hero,movie,"Action,Drama",2002,tt0299977,7.9,190358.0,,Action
Before Sunset,movie,"Drama,Romance",2004,tt0381681,8.1,300170.0,,Drama
Nausicaä of the Valley of the Wind,movie,"Adventure,Animation,Science Fiction",1984,tt0087544,8.0,189565.0,,Adventure
Open Water,movie,"Adventure,Drama,Horror",2003,tt0374102,5.8,57749.0,,Adventure
Raiders of the Lost Ark,movie,Action,1981,tt0082971,8.4,1068751.0,,Action
Indiana Jones and the Temple of Doom,movie,Action,1984,tt0087469,7.5,549784.0,,Action
Dirty Dancing,movie,"Drama,Music,Romance",1987,tt0092890,7.1,267837.0,,Drama
Indiana Jones and the Last Crusade,movie,Action,1989,tt0097576,8.2,834413.0,,Action
Beverly Hills Cop,movie,"Action,Comedy,Crime",1984,tt0086960,7.4,222868.0,,Action
Beverly Hills Cop II,movie,"Action,Comedy,Crime",1987,tt0092644,6.6,142813.0,,Action
Gladiator,movie,"Action,Drama",2000,tt0172495,8.5,1744755.0,,Action
All About My Mother,movie,"Comedy,Drama,Romance",1999,tt0185125,7.8,106166.0,,Comedy
Léon: The Professional,movie,"Action,Crime,Drama",1994,tt0110413,8.5,1295421.0,,Action
Open Hearts,movie,"Drama,Romance",2002,tt0315543,7.5,11254.0,,Drama
Taxi Driver,movie,"Crime,Drama",1976,tt0075314,8.2,971045.0,,Drama
Run Lola Run,movie,"Action,Crime,Thriller",1998,tt0130827,7.6,212742.0,,Action
Back to the Future,movie,"Adventure,Comedy,Science Fiction",1985,tt0088763,8.5,1367545.0,,Adventure
Snatch,movie,"Comedy,Crime",2000,tt0208092,8.2,940779.0,,Comedy
Scarface,movie,"Crime,Drama",1983,tt0086250,8.3,957015.0,,Drama
Italian for Beginners,movie,"Comedy,Drama,Romance",2000,tt0243862,7.0,14163.0,,Comedy
The Untouchables,movie,"Crime,Drama,Thriller",1987,tt0094226,7.8,341503.0,,Drama
Charlie and the Chocolate Factory,movie,"Adventure,Comedy,Family",2005,tt0367594,6.7,548234.0,,Adventure
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure,Drama,Fantasy",2001,tt0120737,8.9,2093648.0,,Adventure
The Lord of the Rings: The Two Towers,movie,"Adventure,Drama,Fantasy",2002,tt0167261,8.8,1860706.0,,Adventure
The Lord of the Rings: The Return of the King,movie,"Adventure,Drama,Fantasy",2003,tt0167260,9.0,2064416.0,,Adventure
Princess Mononoke,movie,"Adventure,Animation,Fantasy",1997,tt0119698,8.3,455689.0,,Adventure
Spirited Away,movie,"Adventure,Animation,Family",2001,tt0245429,8.6,900837.0,,Adventure
"O Brother, Where Art Thou?",movie,"Adventure,Comedy,Crime",2000,tt0190590,7.7,340017.0,,Adventure
Groundhog Day,movie,"Comedy,Drama,Fantasy",1993,tt0107048,8.0,712635.0,,Comedy
Bad Education,movie,"Crime,Drama",2004,tt0275491,7.4,64762.0,,Drama
Donnie Darko,movie,"Drama,Mystery,Science Fiction",2001,tt0246578,8.0,877839.0,,Drama
Brokeback Mountain,movie,"Drama,Romance",2005,tt0388795,7.7,398980.0,,Drama
Akira,movie,"Animation,Drama,Fantasy",1988,tt0094625,8.0,214382.0,,Comedy
48 Hrs.,movie,"Action,Comedy,Crime",1982,tt0083511,6.9,89020.0,,Action
